,Ele 1 Floor,Ele 1 Status,Ele 1 Passengers,Ele 2 Floor,Ele 2 Status,Ele 2 Passengers,Ele 3 Floor,Ele 3 Status,Ele 3 Passengers
-1,1,idle,,1,idle,,1,idle,
0,1,idle,,1,idle,,1,idle,
1,2,moving_upwards,,1,idle,,1,idle,
2,3,moving_upwards,,1,at_stop,passenger_6,1,idle,
3,4,moving_upwards,,2,moving_upwards,passenger_6,2,moving_upwards,
4,5,moving_upwards,,3,moving_upwards,passenger_6,3,moving_upwards,
5,6,moving_upwards,,3,at_stop,passenger_7,4,moving_upwards,
6,7,moving_upwards,,4,moving_upwards,passenger_7,5,moving_upwards,
7,8,moving_upwards,,5,moving_upwards,passenger_7,6,moving_upwards,
8,8,at_stop,passenger_1,6,moving_upwards,passenger_7,7,moving_upwards,
9,9,moving_upwards,passenger_1,7,moving_upwards,passenger_7,8,moving_upwards,
10,10,moving_upwards,passenger_1,8,moving_upwards,passenger_7,9,moving_upwards,
11,11,moving_upwards,passenger_1,9,moving_upwards,passenger_7,10,moving_upwards,
12,12,moving_upwards,passenger_1,10,moving_upwards,passenger_7,11,moving_upwards,
13,13,moving_upwards,passenger_1,11,moving_upwards,passenger_7,12,moving_upwards,
14,14,moving_upwards,passenger_1,11,at_stop,"passenger_2, passenger_10, passenger_9",13,moving_upwards,
15,15,moving_upwards,passenger_1,10,moving_downwards,"passenger_2, passenger_10, passenger_9",14,moving_upwards,
16,16,moving_upwards,passenger_1,9,moving_downwards,"passenger_2, passenger_10, passenger_9",15,moving_upwards,
17,17,moving_upwards,passenger_1,8,moving_downwards,"passenger_2, passenger_10, passenger_9",16,moving_upwards,
18,18,moving_upwards,passenger_1,7,moving_downwards,"passenger_2, passenger_10, passenger_9",17,moving_upwards,
19,19,moving_upwards,passenger_1,6,moving_downwards,"passenger_2, passenger_10, passenger_9",17,at_stop,passenger_8
20,20,moving_upwards,passenger_1,6,at_stop,"passenger_2, passenger_10, passenger_9, passenger_4",16,moving_downwards,passenger_8
21,21,moving_upwards,passenger_1,5,moving_downwards,"passenger_2, passenger_10, passenger_9, passenger_4",16,at_stop,
22,22,moving_upwards,passenger_1,4,moving_downwards,"passenger_2, passenger_10, passenger_9, passenger_4",16,idle,
23,22,at_stop,,4,at_stop,"passenger_2, passenger_10, passenger_4",16,idle,
24,21,moving_downwards,,3,moving_downwards,"passenger_2, passenger_10, passenger_4",16,idle,
25,20,moving_downwards,,3,at_stop,"passenger_2, passenger_10",16,idle,
26,20,at_stop,passenger_5,2,moving_downwards,"passenger_2, passenger_10",16,idle,
27,19,moving_downwards,passenger_5,1,moving_downwards,"passenger_2, passenger_10",16,idle,
28,18,moving_downwards,passenger_5,1,at_stop,"passenger_12, passenger_3",16,idle,
29,17,moving_downwards,passenger_5,2,moving_upwards,"passenger_12, passenger_3",16,idle,
30,16,moving_downwards,passenger_5,3,moving_upwards,"passenger_12, passenger_3",16,idle,
31,15,moving_downwards,passenger_5,4,moving_upwards,"passenger_12, passenger_3",16,idle,
32,14,moving_downwards,passenger_5,4,at_stop,"passenger_12, passenger_3, passenger_11",16,idle,
33,13,moving_downwards,passenger_5,5,moving_upwards,"passenger_12, passenger_3, passenger_11",16,idle,
34,12,moving_downwards,passenger_5,6,moving_upwards,"passenger_12, passenger_3, passenger_11",16,idle,
35,11,moving_downwards,passenger_5,7,moving_upwards,"passenger_12, passenger_3, passenger_11",16,idle,
36,10,moving_downwards,passenger_5,8,moving_upwards,"passenger_12, passenger_3, passenger_11",16,idle,
37,9,moving_downwards,passenger_5,9,moving_upwards,"passenger_12, passenger_3, passenger_11",16,idle,
38,8,moving_downwards,passenger_5,10,moving_upwards,"passenger_12, passenger_3, passenger_11",16,idle,
39,7,moving_downwards,passenger_5,11,moving_upwards,"passenger_12, passenger_3, passenger_11",16,idle,
40,6,moving_downwards,passenger_5,12,moving_upwards,"passenger_12, passenger_3, passenger_11",16,idle,
41,6,at_stop,,12,at_stop,"passenger_3, passenger_11",16,idle,
42,6,idle,,13,moving_upwards,"passenger_3, passenger_11",16,idle,
43,6,idle,,14,moving_upwards,"passenger_3, passenger_11",16,idle,
44,6,idle,,15,moving_upwards,"passenger_3, passenger_11",16,idle,
45,6,idle,,16,moving_upwards,"passenger_3, passenger_11",16,idle,
46,6,idle,,17,moving_upwards,"passenger_3, passenger_11",16,idle,
47,6,idle,,18,moving_upwards,"passenger_3, passenger_11",16,idle,
48,6,idle,,19,moving_upwards,"passenger_3, passenger_11",16,idle,
49,6,idle,,19,at_stop,passenger_3,16,idle,
50,6,idle,,20,moving_upwards,passenger_3,16,idle,
51,6,idle,,20,at_stop,,16,idle,


,Call Time,Source->Dest,Pickup Time,Dropoff Time,Wait Time,Total Time,Elevator
passenger_1,1,8 -> 22,8,23,7,22,Ele 1
passenger_6,2,1 -> 3,2,5,0,3,Ele 2
passenger_8,3,17 -> 16,19,21,16,18,Ele 3
passenger_2,3,11 -> 1,14,28,11,25,Ele 2
passenger_7,4,3 -> 11,5,14,1,10,Ele 2
passenger_10,8,11 -> 1,14,28,6,20,Ele 2
passenger_3,11,1 -> 20,28,51,17,40,Ele 2
passenger_9,12,11 -> 4,14,23,2,11,Ele 2
passenger_11,13,4 -> 19,32,49,19,36,Ele 2
passenger_12,14,1 -> 12,28,41,14,27,Ele 2
passenger_5,14,20 -> 6,26,41,12,27,Ele 1
passenger_4,15,6 -> 3,20,25,5,10,Ele 2


,Wait Times,Total Times
Min,0.0,3.0
Max,19.0,40.0
Mean,9.166666666666666,20.75
